id,company_id,year,sales,operating_profit,opm_percentage,calculated_opm
96,ADANIENSOL,Mar 2024,16607.0,5711.0,30.0,34.38911302462817
219,AXISBANK,Mar 2013,27183.0,8313.0,1353.0,30.58161350844278
220,AXISBANK,Mar 2014,30641.0,9644.0,2307.0,31.474168597630626
221,AXISBANK,Mar 2015,35479.0,11127.0,3097.0,31.36221426759492
222,AXISBANK,Mar 2016,40988.0,13367.0,3466.0,32.611983995315704
223,AXISBANK,Mar 2017,44542.0,23808.0,-5715.0,53.450675766692115
224,AXISBANK,Mar 2018,45780.0,28895.0,-10277.0,63.11708169506335
225,AXISBANK,Mar 2019,54986.0,27155.0,-5447.0,49.385298075873855
226,AXISBANK,Mar 2020,62635.0,35066.0,-9859.0,55.984673106090845
227,AXISBANK,Mar 2021,63346.0,31749.0,-2510.0,50.119976004799035
228,AXISBANK,Mar 2022,67377.0,29962.0,3170.0,44.4691808777476
229,AXISBANK,Mar 2023,85164.0,29089.0,13857.0,34.15645108261707
230,AXISBANK,Mar 2024,109369.0,37943.0,11952.0,34.69264599658038
231,AXISBANK,TTM,120659.0,44566.0,9061.0,36.935495901673306
258,BAJFINANCE,Mar 2015,5392.0,1752.0,1367.0,32.49258160237389
259,BAJFINANCE,Mar 2016,7299.0,2354.0,1986.0,32.25099328675161
260,BAJFINANCE,Mar 2017,9970.0,3250.0,2867.0,32.59779338014042
261,BAJFINANCE,Mar 2018,12746.0,4115.0,3935.0,32.28463831790366
262,BAJFINANCE,Mar 2019,18487.0,5454.0,6310.0,29.501812084167252
263,BAJFINANCE,Mar 2020,26374.0,9159.0,7608.0,34.72738302874043
264,BAJFINANCE,Mar 2021,26673.0,10839.0,6314.0,40.63659880778315
265,BAJFINANCE,Mar 2022,31641.0,11880.0,9906.0,37.546221674409786
266,BAJFINANCE,Mar 2023,41411.0,12693.0,16018.0,30.65127623095313
267,BAJFINANCE,Mar 2024,54972.0,16099.0,19987.0,29.285818234737686
268,BAJFINANCE,TTM,62279.0,18943.0,21417.0,30.416352221455067
269,BANKBARODA,Mar 2013,36442.0,10950.0,1006.0,30.047747104988748
270,BANKBARODA,Mar 2014,40463.0,12049.0,809.0,29.777821713664338
271,BANKBARODA,Mar 2015,44915.0,13466.0,902.0,29.981075364577535
272,BANKBARODA,Mar 2016,45799.0,25391.0,-11700.0,55.440075110810284
273,BANKBARODA,Mar 2017,44473.0,19250.0,-4372.0,43.28468958694039
274,BANKBARODA,Mar 2018,46056.0,26093.0,-9197.0,56.654941809970474
275,BANKBARODA,Mar 2019,52906.0,25815.0,-5414.0,48.79408762711223
276,BANKBARODA,Mar 2020,78895.0,40583.0,-11728.0,51.439254705621394
277,BANKBARODA,Mar 2021,74314.0,38070.0,-6957.0,51.22857065963344
278,BANKBARODA,Mar 2022,73385.0,37518.0,-2948.0,51.12488928255093
